Transaction ID,Date,Description,Amount,Category,Transaction Type
1,2025-01-01,Monthly Salary,90894.09,Salary,Income
2,2025-01-02,Online Course,723.71,Education,Expense
3,2025-01-02,Ola,142.53,Transport,Expense
4,2025-01-02,Auto,136.16,Transport,Expense
5,2025-01-02,Movie,556.04,Entertainment,Expense
6,2025-01-02,Mobile Recharge,459.69,Utilities,Expense
7,2025-01-03,Amazon,272.46,Shopping,Expense
8,2025-01-03,Zomato,185.59,Food,Expense
9,2025-01-03,Metro,20.98,Transport,Expense
10,2025-01-03,Medical Test,768.74,Healthcare,Expense
11,2025-01-03,Metro,85.91,Transport,Expense
12,2025-01-03,Cafe,206.88,Food,Expense
13,2025-01-03,Zomato,417.41,Food,Expense
14,2025-01-03,Restaurant,794.36,Food,Expense
15,2025-01-04,Uber,192.77,Transport,Expense
16,2025-01-04,Electricity Bill,1055.92,Utilities,Expense
17,2025-01-04,Ola,114.3,Transport,Expense
18,2025-01-04,Swiggy,113.98,Food,Expense
19,2025-01-05,Monthly Rent,17944.69,Rent,Expense
20,2025-01-05,Zomato,180.13,Food,Expense
21,2025-01-06,Swiggy,232.8,Food,Expense
22,2025-01-07,Auto,59.79,Transport,Expense
23,2025-01-08,Internet Bill,542.22,Utilities,Expense
24,2025-01-08,Online Course,611.17,Education,Expense
25,2025-01-08,Swiggy,234.68,Food,Expense
26,2025-01-10,Cafe,236.37,Food,Expense
27,2025-01-10,Cafe,191.06,Food,Expense
28,2025-01-10,Zomato,135.31,Food,Expense
29,2025-01-10,Metro,62.86,Transport,Expense
30,2025-01-10,Zomato,144.37,Food,Expense
31,2025-01-10,Swiggy,241.54,Food,Expense
32,2025-01-10,Auto,73.87,Transport,Expense
33,2025-01-11,Mobile Recharge,212.48,Utilities,Expense
34,2025-01-11,Grocery Store,646.75,Food,Expense
35,2025-01-12,Ola,201.23,Transport,Expense
36,2025-01-12,Clothing Store,1703.92,Shopping,Expense
37,2025-01-13,Ola,89.56,Transport,Expense
38,2025-01-13,Online Course,1477.6,Education,Expense
39,2025-01-13,Cafe,137.21,Food,Expense
40,2025-01-13,Cafe,162.33,Food,Expense
41,2025-01-13,Swiggy,331.71,Food,Expense
42,2025-01-15,Clothing Store,866.97,Shopping,Expense
43,2025-01-15,Swiggy,110.26,Food,Expense
44,2025-01-15,Netflix,649.0,Entertainment,Expense
45,2025-01-15,Cafe,105.13,Food,Expense
46,2025-01-16,Restaurant,366.07,Food,Expense
47,2025-01-16,Spotify,165.53,Entertainment,Expense
48,2025-01-16,Clothing Store,2105.61,Shopping,Expense
49,2025-01-17,Grocery Store,1570.95,Food,Expense
50,2025-01-18,Restaurant,706.94,Food,Expense
51,2025-01-18,Metro,88.98,Transport,Expense
52,2025-01-18,Electricity Bill,1314.16,Utilities,Expense
53,2025-01-18,Swiggy,181.43,Food,Expense
54,2025-01-19,Ola,81.63,Transport,Expense
55,2025-01-19,Uber,118.74,Transport,Expense
56,2025-01-19,Spotify,179.76,Entertainment,Expense
57,2025-01-19,,835.87,Education,Expense
58,2025-01-20,Flipkart,571.94,Shopping,Expense
59,2025-01-20,Fuel,457.16,Transport,Expense
60,2025-01-20,Fuel,408.77,Transport,Expense
61,2025-01-20,Ola,211.48,Transport,Expense
62,2025-01-20,Auto,56.22,Transport,Expense
63,2025-01-20,Cafe,169.64,Food,Expense
64,2025-01-20,Auto,165.16,Transport,Expense
65,2025-01-21,Metro,96.01,Transport,Expense
66,2025-01-21,Restaurant,299.88,Food,Expense
67,2025-01-21,Electricity Bill,999.57,Utilities,Expense
68,2025-01-21,Electricity Bill,1217.88,Utilities,Expense
69,2025-01-22,Mobile Recharge,328.93,Utilities,Expense
70,2025-01-22,Grocery Store,647.62,Food,Expense
71,2025-01-23,Cafe,208.39,Food,Expense
72,2025-01-23,Amazon,605.3,Shopping,Expense
73,2025-01-23,Fuel,781.88,Transport,Expense
74,2025-01-23,Fuel,944.81,Transport,Expense
75,2025-01-23,Electricity Bill,1318.7,Utilities,Expense
76,2025-01-23,Clothing Store,1506.73,Shopping,Expense
77,2025-01-23,Zomato,414.62,Food,Expense
78,2025-01-23,Cafe,186.4,Food,Expense
79,2025-01-24,Amazon,1756.99,Shopping,Expense
80,2025-01-24,Swiggy,212.11,Food,Expense
81,2025-01-24,Swiggy,288.92,Food,Expense
82,2025-01-24,Swiggy,439.36,Food,Expense
83,2025-01-25,Mobile Recharge,570.23,Utilities,Expense
84,2025-01-25,Ola,237.9,Transport,Expense
85,2025-01-26,Internet Bill,609.29,Utilities,Expense
86,2025-01-26,Amazon,277.18,Shopping,Expense
87,2025-01-26,Cafe,203.42,Food,Expense
88,2025-01-27,Flipkart,1029.33,Shopping,Expense
89,2025-01-27,Spotify,198.44,Entertainment,Expense
90,2025-01-27,Mobile Recharge,279.64,Utilities,Expense
91,2025-01-27,Swiggy,405.95,Food,Expense
92,2025-01-27,Metro,26.81,Transport,Expense
93,2025-01-28,Cafe,344.98,Food,Expense
94,2025-01-28,Grocery Store,471.13,Food,Expense
95,2025-01-28,Cafe,115.37,Food,Expense
96,2025-01-28,Restaurant,716.28,Food,Expense
97,2025-01-28,Movie,226.36,Entertainment,Expense
98,2025-01-28,Ola,185.82,Transport,Expense
99,2025-01-28,Medical Test,837.43,Healthcare,Expense
100,2025-01-29,Ola,213.09,Transport,Expense
101,2025-01-29,Spotify,173.74,Entertainment,Expense
